,Dimension,NumberOfMines,FinalScore
0,8,6,0.666666667
1,8,8,0.25
2,8,10,0.4
3,8,12,0.166666667
4,8,14,0.428571429
5,8,16,0
6,8,6,0.166666667
7,8,8,0.25
8,8,10,0.2
9,8,12,0
10,8,14,0.357142857
11,8,16,0
12,8,6,0.166666667
13,8,8,0.25
14,8,10,0.1
15,8,12,0.416666667
16,8,14,0.5
17,8,16,0.1875
18,8,6,0.166666667
19,8,8,0.375
20,8,10,0.6
21,8,12,0.416666667
22,8,14,0
23,8,16,0.1875
24,8,6,0.333333333
25,8,8,0.5
26,8,10,0.2
27,8,12,0.25
28,8,14,0.142857143
29,8,16,0.625
30,8,6,0.5
31,8,8,0.125
32,8,10,0.6
33,8,12,0.083333333
34,8,14,0.214285714
35,8,16,0.1875
36,8,6,0.5
37,8,8,0.25
38,8,10,0.9
39,8,12,0.416666667
40,8,14,0.071428571
41,8,16,0
42,8,6,0.5
43,8,8,0.25
44,8,10,0.3
45,8,12,0.333333333
46,8,14,0.142857143
47,8,16,0
48,8,6,0.5
49,8,8,0.375
50,8,10,0.4
51,8,12,0.083333333
52,8,14,0.357142857
53,8,16,0.1875
54,8,6,0.333333333
55,8,8,0.25
56,8,10,0.3
57,8,12,0.083333333
58,8,14,0.357142857
59,8,16,0.25
