,Terrain Type,Number Of Steps
0,1,19644
1,1,1698
2,1,2238
3,1,1103
4,1,2462
5,1,2381
6,1,195
7,1,1804
8,1,347
9,1,1016
10,1,2196
11,1,1780
12,1,19558
13,1,1327
14,1,140
15,1,901
16,1,601
17,1,1547
18,1,103
19,1,572
20,1,1108
21,1,19518
22,1,241
23,1,546
24,1,2112
25,1,19620
26,1,1488
27,1,723
28,1,2278
29,1,1683
30,1,2209
31,1,2347
32,1,1806
33,1,771
34,1,2063
35,1,14
36,1,1721
37,1,1952
38,1,522
39,1,1939
40,1,1314
41,1,86
42,1,2367
43,1,1098
44,1,70
45,1,2104
46,1,2145
47,1,2271
48,1,1734
49,1,480
50,1,1215
51,1,2210
52,1,903
53,1,470
54,1,1200
55,1,19738
56,1,2158
57,1,2334
58,1,1681
59,1,19711
60,1,1631
61,1,2196
62,1,19607
63,1,534
64,1,513
65,1,1672
66,1,2240
67,1,925
68,1,1583
69,1,696
70,1,19924
71,1,243
72,1,19868
73,1,1207
74,1,701
75,1,2382
76,1,13
77,1,1342
78,1,770
79,1,2214
80,1,1525
81,1,904
82,1,19637
83,1,798
84,1,2288
85,1,433
86,1,449
87,1,1410
88,1,1220
89,1,2477
90,1,224
91,1,2300
92,1,96
93,1,420
94,1,1130
95,1,568
96,1,2210
97,1,757
98,1,2093
99,1,1854
100,2,1882
101,2,11338
102,2,1636
103,2,1787
104,2,648
105,2,761
106,2,318
107,2,11096
108,2,807
109,2,1618
110,2,10901
111,2,2101
112,2,21184
113,2,648
114,2,1177
115,2,21922
116,2,11267
117,2,593
118,2,1892
119,2,1471
120,2,1794
121,2,2259
122,2,635
123,2,2219
124,2,11092
125,2,1723
126,2,707
127,2,11860
128,2,11186
129,2,1773
130,2,11680
131,2,106
132,2,949
133,2,2163
134,2,1965
135,2,1092
136,2,32097
137,2,1427
138,2,638
139,2,11508
140,2,10916
141,2,2118
142,2,11246
143,2,21931
144,2,603
145,2,944
146,2,984
147,2,698
148,2,911
149,2,1616
150,2,532
151,2,258
152,2,99
153,2,1842
154,2,1188
155,2,11070
156,2,1491
157,2,2202
158,2,20934
159,2,11085
160,2,1197
161,2,2186
162,2,781
163,2,1206
164,2,11846
165,2,2368
166,2,2271
167,2,11116
168,2,11097
169,2,715
170,2,1679
171,2,2385
172,2,99
173,2,999
174,2,11776
175,2,11406
176,2,287
177,2,1525
178,2,406
179,2,31114
180,2,1649
181,2,11018
182,2,11268
183,2,31494
184,2,1074
185,2,2414
186,2,1433
187,2,948
188,2,2332
189,2,10853
190,2,11231
191,2,936
192,2,566
193,2,1286
194,2,935
195,2,11421
196,2,75
197,2,508
198,2,192
199,2,1616
200,3,127
201,3,102198
202,3,31946
203,3,251
204,3,546
205,3,21581
206,3,31129
207,3,31902
208,3,11359
209,3,10972
210,3,61770
211,3,11902
212,3,21816
213,3,2106
214,3,31325
215,3,41163
216,3,11758
217,3,1705
218,3,31360
219,3,10989
220,3,1489
221,3,20817
222,3,71357
223,3,11988
224,3,11323
225,3,31439
226,3,31983
227,3,41819
228,3,91356
229,3,1204
230,3,21453
231,3,11843
232,3,1153
233,3,1927
234,3,31305
235,3,32100
236,3,2182
237,3,31699
238,3,1132
239,3,21883
240,3,52027
241,3,81656
242,3,1155
243,3,31355
244,3,138
245,3,11167
246,3,1850
247,3,719
248,3,71644
249,3,10962
250,3,977
251,3,21952
252,3,31802
253,3,21750
254,3,21287
255,3,31010
256,3,1428
257,3,1982
258,3,11416
259,3,51570
260,3,51568
261,3,11720
262,3,21534
263,3,257
264,3,957
265,3,2119
266,3,2233
267,3,21974
268,3,32208
269,3,31647
270,3,21336
271,3,2158
272,3,2442
273,3,11139
274,3,2112
275,3,1400
276,3,31922
277,3,21021
278,3,82528
279,3,20827
280,3,52022
281,3,1446
282,3,111587
283,3,11107
284,3,2077
285,3,51951
286,3,52175
287,3,21237
288,3,2349
289,3,31118
290,3,51501
291,3,10826
292,3,58
293,3,1629
294,3,31014
295,3,31382
296,3,11300
297,3,725
298,3,11071
299,3,41093
300,4,2744
301,4,7076
302,4,5738
303,4,7078
304,4,4750
305,4,7527
306,4,4373
307,4,2722
308,4,231
309,4,9010
310,4,1152
311,4,10590
312,4,10047
313,4,14937
314,4,18518
315,4,15485
316,4,7871
317,4,33837
318,4,18284
319,4,29433
320,4,17751
321,4,30965
322,4,9305
323,4,6864
324,4,2655
325,4,3644
326,4,17639
327,4,3152
328,4,2354
329,4,6532
330,4,6573
331,4,4378
332,4,1651
333,4,4004
334,4,4254
335,4,467
336,4,7298
337,4,17909
338,4,4242
339,4,7188
340,4,10433
341,4,25658
342,4,10355
343,4,5048
344,4,10211
345,4,24222
346,4,36580
347,4,5595
348,4,16598
349,4,9849
350,4,9465
351,4,20449
352,4,2873
353,4,1688
354,4,2954
355,4,8084
356,4,27823
357,4,3769
358,4,3649
359,4,3770
360,4,6205
361,4,8269
362,4,26384
363,4,5184
364,4,1227
365,4,22079
366,4,13399
367,4,7655
368,4,6884
369,4,4836
370,4,5269
371,4,10689
372,4,5174
373,4,6226
374,4,17883
375,4,15278
376,4,3155
377,4,16530
378,4,10261
379,4,404
380,4,15079
381,4,6106
382,4,7619
383,4,18468
384,4,4826
385,4,5465
386,4,5896
387,4,1877
388,4,6567
389,4,5262
390,4,19012
391,4,32719
392,4,2538
393,4,16585
394,4,2959
395,4,3289
396,4,34392
397,4,17336
398,4,3195
399,4,3941
