,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
0,30,0.3,0.1,217,59,1,0.00640869140625
1,30,0.3,0.1,265,61,1,0.005236387252807617
2,30,0.3,0.1,1,0,0,0.0
3,30,0.3,0.1,254,59,1,0.008232593536376953
4,30,0.3,0.1,258,59,1,0.013687849044799805
5,30,0.3,0.1,183,59,1,0.005243539810180664
6,30,0.3,0.1,570,0,0,0.024953842163085938
7,30,0.3,0.1,29,0,0,0.0010013580322265625
8,30,0.3,0.1,169,59,1,0.013701677322387695
9,30,0.3,0.1,3,0,0,0.0
10,30,0.3,0.1,352,59,1,0.015247344970703125
11,30,0.3,0.1,10,0,0,0.0
12,30,0.3,0.1,324,61,1,0.017681598663330078
13,30,0.3,0.1,308,59,1,0.0
14,30,0.3,0.1,157,0,0,0.0
15,30,0.3,0.1,341,67,1,0.011043787002563477
16,30,0.3,0.1,610,0,0,0.05788874626159668
17,30,0.3,0.1,208,61,1,0.013867378234863281
18,30,0.3,0.1,1,0,0,0.0
19,30,0.3,0.1,606,0,0,0.035539865493774414
20,30,0.3,0.1,3,0,0,0.0
21,30,0.3,0.1,275,59,1,0.010264873504638672
22,30,0.3,0.1,191,59,1,0.00634312629699707
23,30,0.3,0.1,455,61,1,0.05145621299743652
24,30,0.3,0.1,559,0,0,0.024935483932495117
25,30,0.3,0.1,9,0,0,0.0009999275207519531
26,30,0.3,0.1,572,0,0,0.025929927825927734
27,30,0.3,0.1,8,0,0,0.0009953975677490234
28,30,0.3,0.1,1,0,0,0.0010018348693847656
29,30,0.3,0.1,271,59,1,0.011966705322265625
30,30,0.3,0.1,547,0,0,0.02390289306640625
31,30,0.3,0.1,394,61,1,0.01898670196533203
32,30,0.3,0.1,196,61,1,0.0010557174682617188
33,30,0.3,0.1,618,0,0,0.03255724906921387
34,30,0.3,0.1,313,59,1,0.017325639724731445
35,30,0.3,0.1,13,0,0,0.0
36,30,0.3,0.1,357,65,1,0.0417933464050293
37,30,0.3,0.1,240,59,1,0.015625476837158203
38,30,0.3,0.1,242,61,1,0.013644695281982422
39,30,0.3,0.1,604,0,0,0.04539179801940918
40,30,0.3,0.1,407,65,1,0.015700340270996094
41,30,0.3,0.1,259,59,1,0.008263826370239258
42,30,0.3,0.1,378,59,1,0.037584781646728516
43,30,0.3,0.1,610,0,0,0.03353381156921387
44,30,0.3,0.1,227,59,1,0.0
