,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
0,50,0.1,2236,99,1,0.8861844539642334
1,50,0.1,2244,99,1,0.8817043304443359
2,50,0.1,2250,99,1,0.8535616397857666
3,50,0.1,2256,99,1,0.7495594024658203
4,50,0.1,2244,99,1,1.1963839530944824
5,50,0.1,2263,99,1,2.0002858638763428
6,50,0.1,2233,0,0,1.8646132946014404
7,50,0.1,2278,99,1,1.9789140224456787
8,50,0.1,2266,99,1,2.121461868286133
9,50,0.1,2260,99,1,2.2658298015594482
10,50,0.1,2254,99,1,2.2866640090942383
11,50,0.1,2249,99,1,2.230836868286133
12,50,0.1,2256,99,1,2.1143600940704346
13,50,0.1,2242,99,1,2.0509026050567627
14,50,0.1,2269,99,1,2.016422748565674
15,50,0.1,2238,99,1,1.9882566928863525
16,50,0.1,2259,99,1,2.0772340297698975
17,50,0.1,2223,99,1,1.9269936084747314
18,50,0.1,2237,99,1,1.8163073062896729
19,50,0.1,2243,99,1,1.7924244403839111
20,50,0.1,2269,99,1,1.9411826133728027
21,50,0.1,2247,99,1,1.003000259399414
22,50,0.1,2276,99,1,1.4223949909210205
23,50,0.1,2257,99,1,1.5987813472747803
24,50,0.1,2255,99,1,1.529947280883789
25,50,0.1,2258,99,1,1.3420746326446533
26,50,0.1,2272,99,1,1.3288099765777588
27,50,0.1,2250,99,1,1.3455665111541748
28,50,0.1,2268,99,1,2.213329315185547
29,50,0.1,2243,99,1,2.2537505626678467
30,50,0.1,2230,99,1,2.1958749294281006
31,50,0.1,2238,99,1,2.2100720405578613
32,50,0.1,2250,99,1,2.0743165016174316
33,50,0.1,2256,99,1,2.153397560119629
34,50,0.1,2255,99,1,2.1593105792999268
35,50,0.1,2243,99,1,1.9227879047393799
36,50,0.1,2232,99,1,2.0235960483551025
37,50,0.1,2265,99,1,2.176414966583252
38,50,0.1,2271,99,1,1.1684138774871826
39,50,0.1,2259,99,1,2.388967275619507
40,50,0.1,1,0,0,0.00598454475402832
41,50,0.1,2248,99,1,2.0823214054107666
42,50,0.1,2244,99,1,2.0911686420440674
43,50,0.1,2239,99,1,2.0749993324279785
44,50,0.1,2235,99,1,2.191479206085205
45,50,0.1,2250,99,1,2.2185516357421875
46,50,0.1,2269,99,1,2.631082773208618
47,50,0.1,2236,99,1,2.6484436988830566
48,50,0.1,2256,99,1,2.067497730255127
49,50,0.1,2241,99,1,2.0341129302978516
50,50,0.1,2247,99,1,2.3945107460021973
