,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
0,10,0.1,90,19,1,0.0
1,15,0.1,206,29,1,0.09375858306884766
2,20,0.1,356,39,1,0.1406385898590088
3,25,0.1,576,49,1,0.2500269412994385
4,50,0.1,2237,99,1,0.9375991821289062
5,75,0.1,5099,149,1,1.797065258026123
6,100,0.1,8984,199,1,3.219089984893799
7,200,0.1,35965,399,1,13.92334246635437
8,10,0.2,79,19,1,0.015587568283081055
9,15,0.2,152,29,1,0.06250667572021484
10,20,0.2,334,39,1,0.17189288139343262
11,25,0.2,487,49,1,0.17189288139343262
12,50,0.2,1997,99,1,0.8125848770141602
13,75,0.2,4516,149,1,1.7658100128173828
14,100,0.2,7982,199,1,3.266608715057373
15,200,0.2,31808,399,1,12.851817846298218
16,10,0.3,66,19,1,0.0
17,15,0.3,1,0,0,0.0
18,20,0.3,2,0,0,0.0
19,25,0.3,328,51,1,0.12501120567321777
20,50,0.3,2,0,0,0.028778076171875
21,75,0.3,2,0,0,0.015625476837158203
22,100,0.3,6764,205,1,2.75927996635437
23,200,0.3,1,0,0,0.06250858306884766
