,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
0,50,0.1,1263,909,1,0.5565826892852783
1,50,0.1,1289,1035,1,0.4594733715057373
2,50,0.1,1217,1077,1,0.4628629684448242
3,50,0.1,1225,1023,1,0.45445942878723145
4,50,0.1,1227,1075,1,0.4838550090789795
5,50,0.1,1284,1113,1,1.2253401279449463
6,50,0.1,2233,0,0,1.966930866241455
7,50,0.1,1270,1099,1,1.191938877105713
8,50,0.1,1283,963,1,1.1273200511932373
9,50,0.1,1167,1009,1,1.2624759674072266
10,50,0.1,1225,1047,1,1.0700340270996094
11,50,0.1,1331,1093,1,1.2381706237792969
12,50,0.1,1185,1057,1,1.3456976413726807
13,50,0.1,1234,1021,1,1.1665117740631104
14,50,0.1,1247,1045,1,1.1156222820281982
15,50,0.1,1268,1103,1,1.1155636310577393
16,50,0.1,1320,1099,1,1.1725904941558838
17,50,0.1,1265,1037,1,1.302706241607666
18,50,0.1,1278,925,1,1.1849548816680908
19,50,0.1,1330,1065,1,1.2135365009307861
20,50,0.1,1251,1067,1,1.0868029594421387
21,50,0.1,1189,1035,1,0.7886321544647217
22,50,0.1,1266,1059,1,0.8131861686706543
23,50,0.1,1344,909,1,0.9476056098937988
24,50,0.1,1116,1007,1,0.9344885349273682
25,50,0.1,1333,981,1,1.0967109203338623
26,50,0.1,1270,1117,1,0.7681150436401367
27,50,0.1,1220,1059,1,0.7699265480041504
28,50,0.1,1274,1141,1,1.2109394073486328
29,50,0.1,1265,1075,1,1.2103426456451416
30,50,0.1,1287,1039,1,1.256615400314331
31,50,0.1,1297,1023,1,1.5306317806243896
32,50,0.1,1311,1023,1,1.104020118713379
33,50,0.1,1260,951,1,1.1531612873077393
34,50,0.1,1253,1093,1,1.3139820098876953
35,50,0.1,1117,995,1,0.9626157283782959
36,50,0.1,1265,1057,1,1.0959324836730957
37,50,0.1,1228,1065,1,1.4205315113067627
38,50,0.1,1260,1081,1,0.8848917484283447
39,50,0.1,1290,1139,1,0.6703135967254639
40,50,0.1,1,0,0,0.015482902526855469
41,50,0.1,1222,1015,1,1.1888089179992676
42,50,0.1,1310,1061,1,1.237724781036377
43,50,0.1,1341,1009,1,1.2237379550933838
44,50,0.1,1217,1045,1,1.1251277923583984
45,50,0.1,1232,1029,1,1.3901174068450928
46,50,0.1,1208,1057,1,1.3859028816223145
47,50,0.1,1054,941,1,1.343369960784912
48,50,0.1,1141,1021,1,1.2249071598052979
49,50,0.1,1194,1055,1,1.1026620864868164
50,50,0.1,1277,1045,1,1.3538291454315186
51,50,0.1,1295,1083,1,1.416393518447876
52,50,0.1,1351,1033,1,1.3659985065460205
