,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
0,50,0.3,0.1,1,0,0,0.3000311851501465
1,50,0.3,0.1,4,0,0,0.00876474380493164
2,50,0.3,0.1,1532,0,0,0.28258800506591797
3,50,0.3,0.1,1692,98,1,0.2268822193145752
4,50,0.3,0.1,4,0,0,0.007410764694213867
5,50,0.3,0.1,1676,98,1,0.4278712272644043
6,50,0.3,0.1,1708,104,1,0.45984578132629395
7,50,0.3,0.1,1733,98,1,0.334383487701416
8,50,0.3,0.1,1612,0,0,0.32379937171936035
9,50,0.3,0.1,4,0,0,0.013602972030639648
10,50,0.3,0.1,1763,0,0,0.4725325107574463
11,50,0.3,0.1,1696,98,1,0.2842247486114502
12,50,0.3,0.1,1,0,0,0.014187335968017578
13,50,0.3,0.1,1676,98,1,0.3446784019470215
14,50,0.3,0.1,1636,0,0,0.5508158206939697
15,50,0.3,0.1,1,0,0,0.015691518783569336
16,50,0.3,0.1,1704,100,1,0.36581921577453613
17,50,0.3,0.1,8,0,0,0.25319480895996094
18,50,0.3,0.1,9,0,0,0.11314272880554199
19,50,0.3,0.1,1765,98,1,0.48949646949768066
20,50,0.3,0.1,1723,98,1,0.5771439075469971
21,50,0.3,0.1,1694,98,1,0.4188721179962158
22,50,0.3,0.1,1661,0,0,0.5714726448059082
23,50,0.3,0.1,1719,102,1,0.3449828624725342
24,50,0.3,0.1,1667,100,1,0.3009171485900879
25,50,0.3,0.1,4,0,0,0.23327970504760742
26,50,0.3,0.1,10,0,0,0.016651630401611328
27,50,0.3,0.1,1645,98,1,0.2666294574737549
28,50,0.3,0.1,1609,98,1,0.4184246063232422
29,50,0.3,0.1,1671,112,1,0.5757405757904053
30,50,0.3,0.1,51,0,0,0.20427560806274414
31,50,0.3,0.1,1664,102,1,0.5877602100372314
32,50,0.3,0.1,1685,98,1,0.6599311828613281
33,50,0.3,0.1,1647,98,1,0.5577709674835205
34,50,0.3,0.1,1211,100,1,0.3907289505004883
35,50,0.3,0.1,1641,0,0,1.0271742343902588
36,50,0.3,0.1,1751,98,1,0.6503922939300537
37,50,0.3,0.1,10,0,0,0.05061507225036621
38,50,0.3,0.1,1,0,0,0.027149200439453125
39,50,0.3,0.1,1695,98,1,0.3847072124481201
40,50,0.3,0.1,1615,110,1,0.5985574722290039
41,50,0.3,0.1,1697,104,1,0.6540467739105225
42,50,0.3,0.1,1737,0,0,1.0568182468414307
43,50,0.3,0.1,1658,100,1,0.5701053142547607
44,50,0.3,0.1,1717,100,1,0.5783674716949463
45,50,0.3,0.1,1682,100,1,0.5690743923187256
46,50,0.3,0.1,1721,102,1,0.4673764705657959
47,50,0.3,0.1,1606,0,0,0.9939870834350586
48,50,0.3,0.1,1688,100,1,0.6324992179870605
49,50,0.3,0.1,1705,102,1,0.6500210762023926
50,50,0.3,0.1,40,0,0,0.2105398178100586
51,50,0.3,0.1,1644,106,1,0.6841187477111816
52,50,0.3,0.1,1,0,0,0.01570606231689453
53,50,0.3,0.1,1674,104,1,0.541611909866333
54,50,0.3,0.1,9,0,0,0.017656326293945312
55,50,0.3,0.1,1695,0,0,1.0487055778503418
56,50,0.3,0.1,1703,104,1,0.58846116065979
57,50,0.3,0.1,1,0,0,0.016649723052978516
58,50,0.3,0.1,1715,98,1,0.6497776508331299
59,50,0.3,0.1,82,0,0,0.14211153984069824
60,50,0.3,0.1,1709,0,0,1.0633857250213623
61,50,0.3,0.1,1631,102,1,0.6532485485076904
62,50,0.3,0.1,4,0,0,0.021674156188964844
63,50,0.3,0.1,13,0,0,0.015824079513549805
64,50,0.3,0.1,3,0,0,0.015447378158569336
65,50,0.3,0.1,1,0,0,0.023169994354248047
66,50,0.3,0.1,1658,100,1,0.6551859378814697
67,50,0.3,0.1,1,0,0,0.05140805244445801
68,50,0.3,0.1,1741,98,1,0.8526389598846436
69,50,0.3,0.1,9,0,0,0.03270459175109863
70,50,0.3,0.1,1700,98,1,0.6318807601928711
71,50,0.3,0.1,1745,100,1,0.7422902584075928
72,50,0.3,0.1,1,0,0,0.014684200286865234
73,50,0.3,0.1,1715,108,1,0.5746662616729736
74,50,0.3,0.1,7,0,0,0.020976543426513672
75,50,0.3,0.1,1738,98,1,0.7858405113220215
76,50,0.3,0.1,1731,0,0,0.7783217430114746
77,50,0.3,0.1,8,0,0,0.015649080276489258
78,50,0.3,0.1,1710,0,0,1.0776786804199219
79,50,0.3,0.1,1682,102,1,0.6973505020141602
80,50,0.3,0.1,1674,98,1,0.7185714244842529
81,50,0.3,0.1,1693,102,1,0.6361720561981201
82,50,0.3,0.1,1,0,0,0.0502474308013916
83,50,0.3,0.1,1765,98,1,0.7306149005889893
84,50,0.3,0.1,1,0,0,0.01666736602783203
85,50,0.3,0.1,1653,98,1,0.633843183517456
86,50,0.3,0.1,1,0,0,0.015618562698364258
87,50,0.3,0.1,1677,0,0,0.7729284763336182
88,50,0.3,0.1,1741,98,1,0.5997509956359863
89,50,0.3,0.1,1722,98,1,0.6499302387237549
90,50,0.3,0.1,1407,104,1,0.4603142738342285
91,50,0.3,0.1,1702,128,1,0.6322522163391113
92,50,0.3,0.1,11,0,0,0.1166388988494873
93,50,0.3,0.1,1695,98,1,0.7666893005371094
94,50,0.3,0.1,1661,98,1,0.5665924549102783
95,50,0.3,0.1,1,0,0,0.017718076705932617
96,50,0.3,0.1,1678,0,0,0.5666608810424805
97,50,0.3,0.1,9,0,0,0.05000638961791992
98,50,0.3,0.1,1693,108,1,0.7666256427764893
