,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
0,50,0.1,2208,99,1,0.40840721130371094
1,50,0.1,2197,99,1,0.4833247661590576
2,50,0.1,2208,99,1,0.5687530040740967
3,50,0.1,2194,99,1,0.5511353015899658
4,50,0.1,2195,99,1,0.9075355529785156
5,50,0.1,2244,99,1,0.9509835243225098
6,50,0.1,2234,0,0,0.9168121814727783
7,50,0.1,2228,99,1,1.0852792263031006
8,50,0.1,2214,99,1,0.9840173721313477
9,50,0.1,2228,99,1,1.0100398063659668
10,50,0.1,2201,99,1,1.009878396987915
11,50,0.1,2221,99,1,1.1573212146759033
12,50,0.1,2195,99,1,0.9335765838623047
13,50,0.1,2175,99,1,0.901019811630249
14,50,0.1,2220,99,1,0.9530725479125977
15,50,0.1,2204,99,1,0.9182460308074951
16,50,0.1,2230,99,1,1.0309703350067139
17,50,0.1,2177,99,1,0.9205074310302734
18,50,0.1,2166,99,1,1.00386381149292
19,50,0.1,2198,99,1,0.9212875366210938
20,50,0.1,2238,99,1,0.6882710456848145
21,50,0.1,2175,99,1,0.8532283306121826
22,50,0.1,2217,99,1,0.8468210697174072
23,50,0.1,2201,99,1,0.8196220397949219
24,50,0.1,2199,99,1,0.9351232051849365
25,50,0.1,2216,99,1,0.717609167098999
26,50,0.1,2236,99,1,0.7379217147827148
27,50,0.1,2240,99,1,0.9104106426239014
28,50,0.1,2215,99,1,0.997734785079956
29,50,0.1,2176,99,1,1.1400494575500488
30,50,0.1,2164,99,1,0.9661417007446289
31,50,0.1,2149,99,1,0.7209508419036865
32,50,0.1,2199,99,1,0.9721243381500244
33,50,0.1,2211,99,1,0.9432957172393799
34,50,0.1,2219,99,1,1.0297868251800537
35,50,0.1,2220,99,1,1.0527794361114502
36,50,0.1,2178,99,1,1.1021876335144043
37,50,0.1,2230,99,1,0.9215221405029297
38,50,0.1,2235,99,1,0.6115663051605225
39,50,0.1,2198,99,1,1.2456614971160889
40,50,0.1,1,0,0,0.003519296646118164
41,50,0.1,2183,99,1,0.8714632987976074
42,50,0.1,2197,99,1,0.948847770690918
43,50,0.1,2202,99,1,0.9334287643432617
44,50,0.1,2182,99,1,1.3901724815368652
45,50,0.1,2175,99,1,1.4389526844024658
46,50,0.1,2230,99,1,1.4142978191375732
47,50,0.1,2220,99,1,1.036616325378418
48,50,0.1,2214,99,1,0.9331705570220947
49,50,0.1,2171,99,1,0.901939868927002
50,50,0.1,2176,99,1,1.090665578842163
51,50,0.1,2230,99,1,1.271125078201294
52,50,0.1,2200,99,1,1.1966309547424316
53,50,0.1,2210,99,1,1.004481554031372
54,50,0.1,2214,99,1,0.9640507698059082
55,50,0.1,2173,99,1,1.0083463191986084
56,50,0.1,2189,99,1,1.0928728580474854
57,50,0.1,2193,99,1,1.1777544021606445
58,50,0.1,2204,99,1,0.9947128295898438
59,50,0.1,2222,99,1,0.9642801284790039
60,50,0.1,2191,99,1,1.0031559467315674
61,50,0.1,2214,99,1,1.0990688800811768
62,50,0.1,2217,99,1,1.0365958213806152
63,50,0.1,2207,99,1,1.1832938194274902
64,50,0.1,2195,99,1,1.016754388809204
65,50,0.1,2211,99,1,1.179619550704956
66,50,0.1,2237,99,1,1.12884521484375
67,50,0.1,2187,99,1,0.9664053916931152
68,50,0.1,2245,99,1,1.1515190601348877
69,50,0.1,2204,99,1,1.0626850128173828
