,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
0,10,0.1,82,19,1,0.0
1,15,0.1,186,29,1,0.0
2,20,0.1,337,39,1,0.0
3,25,0.1,570,49,1,0.031221866607666016
4,50,0.1,2196,99,1,0.37508177757263184
5,75,0.1,5019,149,1,1.828305959701538
6,100,0.1,8891,199,1,5.808232545852661
7,200,0.1,35560,399,1,106.16061973571777
8,10,0.2,73,19,1,0.0
9,15,0.2,86,29,1,0.0
10,20,0.2,293,39,1,0.01562643051147461
11,25,0.2,406,49,1,0.015626907348632812
12,50,0.2,1800,99,1,0.29692959785461426
13,75,0.2,4214,149,1,1.4845118522644043
14,100,0.2,7565,199,1,4.703622102737427
15,200,0.2,30343,399,1,79.65497207641602
16,10,0.3,60,19,1,0.0
17,15,0.3,1,0,0,0.0
18,20,0.3,3,0,0,0.0
19,25,0.3,169,51,1,0.0
20,50,0.3,3,0,0,0.0
21,75,0.3,3,0,0,0.0
22,100,0.3,5028,205,1,2.6049211025238037
23,200,0.3,1,0,0,0.015626907348632812
