,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
0,10,0.1,78,19,1,0.0
1,15,0.1,174,29,1,0.0
2,20,0.1,285,39,1,0.015626192092895508
3,25,0.1,545,49,1,0.03128242492675781
4,50,0.1,1944,99,1,0.3281893730163574
5,75,0.1,4390,149,1,1.484571933746338
6,100,0.1,8266,199,1,5.266248464584351
7,200,0.1,30396,399,1,75.1406888961792
8,10,0.2,72,19,1,0.0
9,15,0.2,72,29,1,0.0
10,20,0.2,187,39,1,0.0
11,25,0.2,295,49,1,0.01562643051147461
12,50,0.2,1206,99,1,0.14068031311035156
13,75,0.2,2610,149,1,0.7163736820220947
14,100,0.2,5449,199,1,2.8440446853637695
15,200,0.2,20114,399,1,38.72330594062805
16,10,0.3,56,19,1,0.0
17,15,0.3,1,0,0,0.0
18,20,0.3,3,0,0,0.0
19,25,0.3,101,51,1,0.0
20,50,0.3,3,0,0,0.0012407302856445312
21,75,0.3,3,0,0,0.0
22,100,0.3,1617,205,1,0.312532901763916
23,200,0.3,1,0,0,0.03125143051147461
