,Dimension,NumberOfMines,FinalScore
0,8,6,0.6666666666666666
1,8,8,0.25
2,8,10,0.4
3,8,12,0.16666666666666666
4,8,14,0.42857142857142855
5,8,16,0.0
6,8,6,0.16666666666666666
7,8,8,0.25
8,8,10,0.2
9,8,12,0.0
10,8,14,0.35714285714285715
11,8,16,0.0
12,8,6,0.16666666666666666
13,8,8,0.25
14,8,10,0.1
15,8,12,0.4166666666666667
16,8,14,0.5
17,8,16,0.1875
18,8,6,0.16666666666666666
19,8,8,0.375
20,8,10,0.6
21,8,12,0.4166666666666667
22,8,14,0.0
23,8,16,0.1875
24,8,6,0.3333333333333333
25,8,8,0.5
26,8,10,0.2
27,8,12,0.25
28,8,14,0.14285714285714285
29,8,16,0.625
30,8,6,0.5
31,8,8,0.125
32,8,10,0.6
33,8,12,0.08333333333333333
34,8,14,0.21428571428571427
35,8,16,0.1875
36,8,6,0.5
37,8,8,0.25
38,8,10,0.9
39,8,12,0.4166666666666667
40,8,14,0.07142857142857142
41,8,16,0.0
42,8,6,0.5
43,8,8,0.25
44,8,10,0.3
45,8,12,0.3333333333333333
46,8,14,0.14285714285714285
47,8,16,0.0
48,8,6,0.5
49,8,8,0.375
50,8,10,0.4
51,8,12,0.08333333333333333
52,8,14,0.35714285714285715
53,8,16,0.1875
54,8,6,0.3333333333333333
55,8,8,0.25
56,8,10,0.3
57,8,12,0.08333333333333333
58,8,14,0.35714285714285715
59,8,16,0.25
